Topic	TopicPhrase
Over-the-air Mobile Payment Systems Developed Markets	Systems Developed
Over-the-air Mobile Payment Systems Developed Markets	Developed Markets
P2P VOIP	P2P VOIP
PDA Phones	PDA Phones
Peer to Peer Computing	Peer to
Peer to Peer Computing	to Peer
Peer to Peer Computing	Peer Computing
Pen-centric Tablet PCs	Pen-centric Tablet
Pen-centric Tablet PCs	Tablet PCs
People Literate Technology	People Literate
People Literate Technology	Literate Technology
Personal Analytics	Personal Analytics
Personal Fuel Cells	Personal Fuel
Personal Fuel Cells	Fuel Cells
Personal Work Portals	Personal Work
Personal Work Portals	Work Portals
Portable Personality	Portable Personality
Portal Fabric	Portal Fabric
Portal Ubiquity	Portal Ubiquity
Prediction Markets	Prediction Markets
Predictive Analytics	Predictive Analytics
Prescriptive Analytics	Prescriptive Analytics
Prescriptive Analytics	Prescriptive Analytics
Private Cloud Computing	Private Cloud
Private Cloud Computing	Cloud Computing
Process Portals	Process Portals
Public Key Infrastructure	Public Key
Public Key Infrastructure	Key Infrastructure
Public Virtual Worlds	Public Virtual
Public Virtual Worlds	Virtual Worlds
QR/Color Code	QR Color
QR/Color Code	Color Code
Qualified Self	Qualified Self
Quantum Computing	Quantum Computing
Really Simple Syndication	Really Simple
Really Simple Syndication	Simple Syndication
RFID (Case/Pallet)	RFID Case
RFID (Case/Pallet)	Case Pallet
RFID (Item)	RFID Item
RFID (Passive)	RFID Passive
Rich-Client Portals	Rich-Client Portals
RIFD (Case/Pallet)	RIFD Case
RIFD (Case/Pallet)	Case Pallet
Role Based Personalisation	Role Based
Role Based Personalisation	Based Personalisation
RSS Enterprise	RSS Enterprise
Semantic Web	Semantic Web
Service Oriented architecture (SOA)	Service Oriented
Service Oriented architecture (SOA)	Oriented architecture
Service Oriented architecture (SOA)	architecture SOA
Service Oriented Business Apps	Service Oriented
Service Oriented Business Apps	Oriented Business
Service Oriented Business Apps	Business Apps
Silicon Anode Batteries	Silicon Anode
Silicon Anode Batteries	Anode Batteries
Smart Advisors	Smart Advisors
Smart Cards	Smart Cards
Smart Data Discovery	Smart Data
Smart Data Discovery	Data Discovery
Smart Dust	Smart Dust
Smart Enterprise Suites	Smart Enterprise
Smart Enterprise Suites	Enterprise Suites
Smart Robots	Smart Robots
Smart Workspace	Smart Workspace
SMB Portals	SMB Portals
Social Analytics	Social Analytics
Social Computing Platforms	Social Computing
Social Computing Platforms	Computing Platforms
Social Network Analysis	Social Network
Social Network Analysis	Network Analysis
Social Software Suites	Social Software
Social Software Suites	Software Suites
Social TV	Social TV
Software as a Service/ASP	Software as
Software as a Service/ASP	as a
Software as a Service/ASP	a Service
Software as a Service/ASP	Service ASP
Software Defined Anything	Software Defined
Software Defined Anything	Defined Anything
Software Defined Security	Software Defined
Software Defined Security	Defined Security
Solid State Devices	Solid State
Solid State Devices	State Devices
Speech Recognition for Mobile Devices	Speech Recognition
Speech Recognition for Mobile Devices	Recognition for
Speech Recognition for Mobile Devices	for Mobile
Speech Recognition for Mobile Devices	Mobile Devices
Speech Recognition	Speech Recognition
Speech Recognition in Call Centres	Speech Recognition
Speech Recognition in Call Centres	Recognition in
Speech Recognition in Call Centres	in Call
Speech Recognition in Call Centres	Call Centres
Speech Recognition on Desktops	Speech Recognition
Speech Recognition on Desktops	Recognition on
Speech Recognition on Desktops	on Desktops
Speech to Speech Translation	Speech to
Speech to Speech Translation	to Speech
Speech to Speech Translation	Speech Translation
Surface Computers	Surface Computers
Synthetic Characters	Synthetic Characters
Tablet PC	Tablet PC
Tangible User Interfaces	Tangible User
Tangible User Interfaces	User Interfaces
Terahertz Waves	Terahertz Waves
Test to Speech	Test to
Test to Speech	to Speech
Text Analytics	Text Analytics
Text Mining	Text Mining
Text-to-speech/Speech Synthesis	Text-to-speech Speech
Text-to-speech/Speech Synthesis	Speech Synthesis
Trusted Computing Group	Trusted Computing
Trusted Computing Group	Computing Group
Video Analytics and Customer Services	Video Analytics
Video Analytics and Customer Services	Analytics and
Video Analytics and Customer Services	and Customer
Video Analytics and Customer Services	Customer Services
Video Conferencing	Video Conferencing
Video Search	Video Search
Video Telepresence	Video Telepresence
Virtual Assistants	Virtual Assistants
Virtual Content Repositories	Virtual Content
Virtual Content Repositories	Content Repositories
Virtual Content Repositories	Virtual Content
Virtual Content Repositories	Content Repositories
Virtual Env/Virtual Worlds	Virtual Env
Virtual Env/Virtual Worlds	Env Virtual
Virtual Env/Virtual Worlds	Virtual Worlds
Virtual Personal Assistants	Virtual Personal
Virtual Personal Assistants	Personal Assistants
Virtual Personal Networks	Virtual Personal
Virtual Personal Networks	Personal Networks
Virtual Private Networks	Virtual Private
Virtual Private Networks	Private Networks
Virtual Reality	Virtual Reality
Virtual Worlds	Virtual Worlds
Voice Over IP	Voice Over
Voice Over IP	Over IP
Voice Portals	Voice Portals
Vol and Holo Displays	Vol and
Vol and Holo Displays	and Holo
Vol and Holo Displays	Holo Displays
Volumetric and Holo Displays	Volumetric and
Volumetric and Holo Displays	and Holo
Volumetric and Holo Displays	Holo Displays
Volumetric Displays	Volumetric Displays
WAP/Wireless Web	WAP Wireless
WAP/Wireless Web	Wireless Web
Wearable User interfaces	Wearable User
Wearable User interfaces	User interfaces
Web 2.0	Web 2.0
Web 2.0 Workplace tech	Web 2.0
Web 2.0 Workplace tech	2.0 Workplace
Web 2.0 Workplace tech	Workplace tech
Web Platforms	Web Platforms
Web Services	Web Services
Wireless Lans/802.11	Wireless Lans
Wireless Lans/802.11	Lans 802.11
Wireless Power	Wireless Power
Wireless Web/WAP	Wireless Web
Wireless Web/WAP	Web WAP
WSRP/JSR168 App Platform Suite	WSRP JSR168
WSRP/JSR168 App Platform Suite	JSR168 App
WSRP/JSR168 App Platform Suite	App Platform
WSRP/JSR168 App Platform Suite	Platform Suite
xDSL/Cable Modems	xDSL Cable
xDSL/Cable Modems	Cable Modems
XML-Based Multichannel Output	XML-Based Multichannel
XML-Based Multichannel Output	Multichannel Output
